review_id,username,rating,review_text,date,sentiment
da53fc87-5ee7-4a1e-b3db-4c425a11e433,Raka,1,Pembelian online nya semakin membagong kan... Monopoli metode pembayaran pihak tertentu... Harusnya pemerintah turun tangan nie... Secara ini kan salah satu fasilitas strategis negara..,2024-04-27 00:57:09,negative
be827d00-bba5-4eb9-a1a2-e86fcf9c0ab4,ゼウスZ3US_CH,2,Tujuan bandung ga ada di aplikasinya,2024-04-23 11:59:54,negative
46e208c5-6314-4de2-a0f2-325366a926d6,Dimas Budi Pangestu,1,"menyusahkan, metode pembayaran nya tidak familiar",2024-03-26 01:51:21,negative
3ac4ba6b-e9a9-45b2-a9b8-7dd08d1adf4f,Robeert 3000,1,Kaga jelas keluar mulu pin sama kaga bisa gua kaga bisa pulang bangsatt,2024-03-19 12:04:54,negative
ccb16741-b5dd-4945-8a5b-0488d386d424,Rifki Albukhori Pratama,1,Gak ada metode pembayaran via gojeg/dana gitu?,2024-03-08 14:04:27,negative
84fb3d87-5ccb-4315-a1de-5c9913b80cbd,Muhammad Yongky Fernanda,5,Oke.,2024-02-28 03:21:18,positive
86ef1003-7713-48bb-93ab-3d4dbab74062,Reynaldi Zanki,1,"tujuan adanya mrt agar masyarakat beralih ke trasnportasi umum tapi untuk akses pembayaranya ga kayak dulu, klo dulu pembeliat tiket bisa melalui ovo dn gopay tapi skrng hanya berlaku i saku dan astrapay. tolong pihak mrt dibaca kenapa saya menyarankan pembayaran via e wallet seperti ovo atau gopay dan dana karena masyarakat banyak transaksi melalukan e wallet tersebut bukan e wallet seperti i saku dan astrapay",2024-02-20 06:27:31,negative
8c28a16d-99af-4646-954b-2e2aefef09ab,/\\',1,"Karena jika opsi pengembang android aktif , aplikasi ga bisa dipakai.. tapi kalo opsi pengembang di android ga aktif hape lelet bukan main. Dan aplikasi ini mengharuskan opsi pengembang dalam keadaan non aktif. apakah pengguna aplikasi my MRTJ ini harus pengguna iphone?",2024-02-14 17:11:33,negative
b07334fa-3714-49d9-ba0a-cc85179da7af,Rizki Kristalinaldi,1,"Jelek bgt masa cuma bisa bayar pake bank blu doang sama astrapay, bayak lho jenis pembayaran lainnya",2024-02-14 07:22:26,negative
4db2a29d-5b06-4487-a8db-44d298e95efa,muhammad gofur antonih,1,Pembayarannya tidak seperti dulu lagi,2024-02-09 14:46:59,negative
8c46aff2-154a-4deb-b569-60551ba5ecdc,Meisha K Mahardika,1,"Tiap bulan uptd trs, bukanya bgs makin eror tiap updt",2024-01-29 22:51:54,negative
e34d6753-8e66-4342-8c99-e58bef7cd521,ABD CHALIM,5,Ok,2024-01-29 11:31:05,positive
7c5f777a-6edd-44d8-b9a1-9897591a4d32,Notsie,2,Metode pembayaran Diperbanyak bisa gak sih... Apps jaman now masa ngebatasin pengguna Segitunya 😅,2024-01-28 01:24:00,negative
a37629bc-fe79-4a1f-b4e8-cecbf60e1708,Nia Kalangi,5,Ok,2024-01-25 06:02:52,positive
35f1aa34-96f7-4179-884f-833c9834cd5a,arif alfian,1,"Untuk info tenant, tolong infokan daftar menu dan pricelist nya.. Misalnya ketika kita klik hypr caffein, muncul daftar menu dan harga nya. Terima kasih",2024-01-22 21:31:32,negative
f8104fe2-8aa7-4c99-b148-11ce3f9035e2,yudi hata,1,Gk bs bayar pake blu,2024-01-20 10:12:39,negative
